#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
   5900      3.30e+00    2.87e+00      2.85e-02    3.15e-02      1.39e-01    1.21e-01    5.6e-04
   6000      3.06e+00    2.87e+00      2.31e-03    2.56e-03      1.29e-01    1.21e-01    5.6e-04
   6100      2.95e+00    2.92e+00      6.30e-03    7.50e-03      1.24e-01    1.23e-01    5.6e-04
   6200      2.90e+00    2.30e+00      1.12e-02    1.33e-02      1.22e-01    9.67e-02    5.6e-04
   6300      2.62e+00    2.59e+00      2.58e-02    2.86e-02      1.10e-01    1.09e-01    5.6e-04
   6400      2.84e+00    2.67e+00      6.15e-03    6.23e-03      1.20e-01    1.13e-01    5.6e-04
   6500      2.72e+00    3.03e+00      2.18e-02    2.55e-02      1.14e-01    1.28e-01    5.6e-04
   6600      2.76e+00    2.50e+00      2.98e-02    3.11e-02      1.16e-01    1.05e-01    5.6e-04
   6700      3.21e+00    3.15e+00      3.37e-03    2.48e-04      1.35e-01    1.33e-01    5.6e-04
   6800      2.83e+00    3.01e+00      1.52e-02    1.46e-02      1.19e-01    1.27e-01    5.6e-04
   6900      2.91e+00    2.65e+00      1.78e-02    1.38e-02      1.23e-01    1.12e-01    5.6e-04
   7000      2.73e+00    2.66e+00      9.65e-03    7.45e-03      1.15e-01    1.12e-01    5.6e-04
   7100      2.93e+00    2.52e+00      3.36e-02    3.44e-02      1.23e-01    1.06e-01    5.6e-04
   7200      2.64e+00    2.80e+00      6.59e-04    1.30e-03      1.11e-01    1.18e-01    5.6e-04
   7300      2.90e+00    2.54e+00      4.77e-03    6.96e-03      1.22e-01    1.07e-01    5.6e-04
   7400      2.97e+00    2.46e+00      5.07e-03    4.78e-03      1.25e-01    1.04e-01    5.6e-04
   7500      2.64e+00    2.65e+00      1.39e-02    1.58e-02      1.11e-01    1.12e-01    5.6e-04
   7600      2.29e+00    2.72e+00      2.58e-03    9.21e-04      9.65e-02    1.15e-01    5.6e-04
   7700      2.46e+00    2.44e+00      9.02e-03    6.46e-03      1.04e-01    1.03e-01    5.6e-04
   7800      2.57e+00    2.35e+00      4.34e-04    4.79e-04      1.08e-01    9.91e-02    5.6e-04
