#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      1.98e+01    2.03e+01      2.01e-01    2.20e-01      6.26e-01    6.41e-01    1.0e-03
    100      1.56e+01    1.46e+01      6.24e-01    6.19e-01      4.92e-01    4.62e-01    1.0e-03
    200      1.15e+01    1.21e+01      5.15e-01    5.27e-01      3.64e-01    3.83e-01    1.0e-03
    300      1.16e+01    1.23e+01      7.21e-01    7.22e-01      3.64e-01    3.86e-01    1.0e-03
    400      1.18e+01    1.29e+01      7.39e-01    7.39e-01      3.73e-01    4.07e-01    1.0e-03
    500      9.84e+00    9.40e+00      1.69e-01    1.64e-01      3.11e-01    2.97e-01    1.0e-03
    600      1.05e+01    1.01e+01      1.41e-01    1.37e-01      3.31e-01    3.18e-01    1.0e-03
    700      7.72e+00    7.68e+00      4.55e-02    4.43e-02      2.44e-01    2.43e-01    1.0e-03
    800      7.49e+00    5.78e+00      7.23e-02    7.24e-02      2.37e-01    1.83e-01    1.0e-03
    900      8.55e+00    6.94e+00      3.44e-03    3.60e-03      2.70e-01    2.19e-01    1.0e-03
   1000      7.45e+00    7.03e+00      1.60e-01    1.61e-01      2.36e-01    2.22e-01    1.0e-03
   1100      6.74e+00    6.85e+00      5.55e-02    5.58e-02      2.13e-01    2.17e-01    1.0e-03
   1200      6.20e+00    5.84e+00      1.58e-01    1.56e-01      1.96e-01    1.85e-01    1.0e-03
   1300      6.09e+00    5.84e+00      6.64e-02    6.33e-02      1.93e-01    1.85e-01    1.0e-03
   1400      6.13e+00    5.22e+00      3.24e-01    3.26e-01      1.93e-01    1.64e-01    1.0e-03
   1500      5.84e+00    5.26e+00      1.12e-01    1.08e-01      1.85e-01    1.66e-01    1.0e-03
   1600      5.70e+00    5.20e+00      8.15e-02    7.99e-02      1.80e-01    1.64e-01    1.0e-03
   1700      5.17e+00    5.13e+00      4.40e-02    4.20e-02      1.63e-01    1.62e-01    1.0e-03
   1800      4.73e+00    4.30e+00      8.28e-02    8.21e-02      1.50e-01    1.36e-01    1.0e-03
   1900      4.96e+00    5.13e+00      1.37e-01    1.37e-01      1.57e-01    1.62e-01    1.0e-03
   2000      5.08e+00    4.98e+00      6.21e-02    6.36e-02      1.61e-01    1.58e-01    1.0e-03
   2100      5.20e+00    4.65e+00      3.69e-02    4.03e-02      1.65e-01    1.47e-01    1.0e-03
   2200      4.63e+00    4.19e+00      1.45e-01    1.47e-01      1.46e-01    1.32e-01    1.0e-03
   2300      4.68e+00    4.33e+00      7.63e-03    2.41e-03      1.48e-01    1.37e-01    1.0e-03
   2400      4.11e+00    4.45e+00      1.23e-02    1.17e-02      1.30e-01    1.41e-01    1.0e-03
   2500      4.41e+00    3.96e+00      3.36e-02    3.59e-02      1.40e-01    1.25e-01    1.0e-03
   2600      4.07e+00    3.75e+00      3.51e-01    3.52e-01      1.28e-01    1.17e-01    1.0e-03
   2700      4.54e+00    4.37e+00      9.35e-03    8.72e-03      1.43e-01    1.38e-01    1.0e-03
   2800      3.42e+00    3.43e+00      1.02e-01    1.02e-01      1.08e-01    1.08e-01    1.0e-03
   2900      4.34e+00    5.39e+00      1.15e-01    1.14e-01      1.37e-01    1.70e-01    1.0e-03
   3000      4.25e+00    3.69e+00      2.99e-02    3.06e-02      1.35e-01    1.17e-01    1.0e-03
   3100      5.00e+00    4.57e+00      9.37e-02    9.39e-02      1.58e-01    1.44e-01    1.0e-03
   3200      3.97e+00    3.87e+00      1.87e-01    1.89e-01      1.25e-01    1.22e-01    1.0e-03
   3300      4.19e+00    3.75e+00      7.06e-03    4.27e-03      1.32e-01    1.18e-01    1.0e-03
   3400      4.01e+00    3.44e+00      1.30e-01    1.31e-01      1.27e-01    1.09e-01    1.0e-03
   3500      3.60e+00    3.14e+00      5.71e-02    5.59e-02      1.14e-01    9.92e-02    1.0e-03
   3600      4.13e+00    4.03e+00      1.64e-01    1.68e-01      1.30e-01    1.27e-01    1.0e-03
   3700      3.76e+00    3.18e+00      1.65e-02    1.78e-02      1.19e-01    1.01e-01    1.0e-03
   3800      4.73e+00    3.98e+00      5.55e-02    5.56e-02      1.49e-01    1.26e-01    1.0e-03
   3900      4.01e+00    3.89e+00      1.73e-01    1.73e-01      1.27e-01    1.23e-01    1.0e-03
   4000      4.28e+00    3.53e+00      3.68e-02    4.02e-02      1.35e-01    1.12e-01    1.0e-03
   4100      3.56e+00    3.08e+00      4.36e-02    4.63e-02      1.13e-01    9.73e-02    1.0e-03
   4200      3.99e+00    3.41e+00      1.17e-01    1.08e-01      1.26e-01    1.08e-01    1.0e-03
   4300      3.43e+00    3.33e+00      1.52e-01    1.55e-01      1.08e-01    1.05e-01    1.0e-03
