#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
   4400      3.49e+00    3.73e+00      8.21e-02    8.08e-02      1.10e-01    1.18e-01    1.0e-03
   4500      3.57e+00    3.01e+00      2.76e-02    2.82e-02      1.13e-01    9.51e-02    1.0e-03
   4600      3.19e+00    3.01e+00      1.92e-01    1.94e-01      1.00e-01    9.47e-02    1.0e-03
   4700      3.07e+00    2.69e+00      1.05e-01    1.04e-01      9.70e-02    8.50e-02    1.0e-03
   4800      4.39e+00    3.55e+00      5.75e-02    5.63e-02      1.39e-01    1.12e-01    1.0e-03
   4900      3.49e+00    3.15e+00      1.54e-01    1.53e-01      1.10e-01    9.95e-02    1.0e-03
   5000      3.42e+00    2.85e+00      1.56e-01    1.53e-01      1.15e-01    9.49e-02    8.7e-04
   5100      3.19e+00    2.90e+00      5.18e-03    4.66e-03      1.08e-01    9.87e-02    8.7e-04
   5200      3.18e+00    2.74e+00      5.76e-02    5.80e-02      1.08e-01    9.26e-02    8.7e-04
   5300      3.24e+00    2.94e+00      8.36e-03    9.41e-03      1.10e-01    1.00e-01    8.7e-04
   5400      3.01e+00    2.63e+00      4.16e-02    4.27e-02      1.02e-01    8.92e-02    8.7e-04
   5500      2.91e+00    2.61e+00      6.11e-02    5.89e-02      9.85e-02    8.85e-02    8.7e-04
   5600      3.53e+00    3.05e+00      7.51e-03    9.49e-03      1.20e-01    1.04e-01    8.7e-04
   5700      3.01e+00    2.81e+00      1.26e-01    1.25e-01      1.01e-01    9.40e-02    8.7e-04
   5800      2.93e+00    3.07e+00      6.81e-02    6.86e-02      9.93e-02    1.04e-01    8.7e-04
   5900      2.85e+00    2.73e+00      3.72e-02    3.59e-02      9.67e-02    9.26e-02    8.7e-04
   6000      3.10e+00    2.89e+00      5.00e-03    6.28e-03      1.05e-01    9.82e-02    8.7e-04
   6100      2.80e+00    2.88e+00      2.44e-03    2.92e-03      9.50e-02    9.79e-02    8.7e-04
   6200      3.10e+00    2.40e+00      5.77e-02    5.66e-02      1.05e-01    8.11e-02    8.7e-04
   6300      2.80e+00    2.67e+00      4.25e-03    8.29e-03      9.52e-02    9.08e-02    8.7e-04
   6400      2.84e+00    2.58e+00      2.74e-02    3.03e-02      9.64e-02    8.74e-02    8.7e-04
   6500      3.07e+00    3.32e+00      2.04e-02    2.21e-02      1.04e-01    1.13e-01    8.7e-04
   6600      2.33e+00    2.28e+00      3.51e-02    3.42e-02      7.91e-02    7.74e-02    8.7e-04
   6700      3.12e+00    2.65e+00      7.84e-03    1.15e-02      1.06e-01    8.99e-02    8.7e-04
   6800      3.08e+00    2.82e+00      2.11e-02    2.01e-02      1.05e-01    9.59e-02    8.7e-04
   6900      3.25e+00    2.97e+00      7.53e-02    7.87e-02      1.10e-01    1.01e-01    8.7e-04
   7000      2.53e+00    2.53e+00      1.47e-02    1.49e-02      8.59e-02    8.58e-02    8.7e-04
   7100      2.99e+00    2.41e+00      1.12e-01    1.14e-01      1.00e-01    8.05e-02    8.7e-04
   7200      2.83e+00    2.55e+00      2.23e-02    2.30e-02      9.61e-02    8.64e-02    8.7e-04
   7300      2.99e+00    2.55e+00      6.02e-03    2.98e-03      1.02e-01    8.65e-02    8.7e-04
   7400      2.99e+00    2.83e+00      8.95e-03    7.32e-03      1.02e-01    9.62e-02    8.7e-04
   7500      2.45e+00    2.70e+00      3.43e-02    3.61e-02      8.31e-02    9.18e-02    8.7e-04
   7600      2.60e+00    2.87e+00      2.74e-02    2.77e-02      8.82e-02    9.76e-02    8.7e-04
   7700      2.55e+00    2.14e+00      5.47e-03    7.42e-03      8.65e-02    7.27e-02    8.7e-04
   7800      2.68e+00    2.40e+00      1.40e-02    1.33e-02      9.10e-02    8.17e-02    8.7e-04
   7900      2.73e+00    2.20e+00      5.94e-03    8.30e-03      9.27e-02    7.46e-02    8.7e-04
   8000      2.72e+00    2.09e+00      8.48e-02    8.78e-02      9.17e-02    7.00e-02    8.7e-04
   8100      2.55e+00    2.02e+00      1.73e-02    1.79e-02      8.67e-02    6.87e-02    8.7e-04
   8200      2.57e+00    2.44e+00      1.15e-03    3.76e-03      8.74e-02    8.30e-02    8.7e-04
   8300      3.43e+00    2.55e+00      5.01e-02    5.14e-02      1.16e-01    8.65e-02    8.7e-04
   8400      2.53e+00    2.34e+00      2.04e-02    2.28e-02      8.59e-02    7.94e-02    8.7e-04
   8500      2.27e+00    2.37e+00      2.85e-03    2.83e-03      7.72e-02    8.04e-02    8.7e-04
   8600      2.59e+00    2.51e+00      5.04e-02    5.09e-02      8.77e-02    8.51e-02    8.7e-04
   8700      2.48e+00    2.03e+00      5.84e-03    5.23e-03      8.43e-02    6.88e-02    8.7e-04
   8800      2.51e+00    2.03e+00      3.95e-02    3.86e-02      8.51e-02    6.88e-02    8.7e-04
   8900      2.87e+00    2.49e+00      1.46e-03    3.57e-03      9.76e-02    8.48e-02    8.7e-04
   9000      2.62e+00    2.17e+00      3.19e-02    3.28e-02      8.91e-02    7.38e-02    8.7e-04
   9100      3.18e+00    2.42e+00      3.94e-02    3.73e-02      1.08e-01    8.21e-02    8.7e-04
   9200      2.50e+00    2.75e+00      9.29e-02    9.73e-02      8.42e-02    9.25e-02    8.7e-04
   9300      2.23e+00    2.22e+00      3.02e-02    3.10e-02      7.58e-02    7.55e-02    8.7e-04
   9400      2.46e+00    2.52e+00      6.33e-03    6.20e-03      8.37e-02    8.57e-02    8.7e-04
   9500      2.67e+00    1.94e+00      2.67e-02    2.79e-02      9.08e-02    6.57e-02    8.7e-04
   9600      2.65e+00    2.58e+00      3.40e-03    2.78e-03      9.00e-02    8.77e-02    8.7e-04
   9700      2.31e+00    2.09e+00      4.86e-03    7.61e-03      7.86e-02    7.10e-02    8.7e-04
   9800      2.46e+00    2.15e+00      2.14e-02    1.87e-02      8.34e-02    7.32e-02    8.7e-04
   9900      2.30e+00    2.37e+00      4.87e-02    4.73e-02      7.79e-02    8.03e-02    8.7e-04
  10000      2.22e+00    1.80e+00      3.01e-02    2.99e-02      8.08e-02    6.55e-02    7.5e-04
  10100      2.19e+00    2.05e+00      6.60e-02    6.43e-02      7.92e-02    7.39e-02    7.5e-04
  10200      2.14e+00    1.85e+00      4.87e-02    4.85e-02      7.78e-02    6.69e-02    7.5e-04
  10300      2.70e+00    2.25e+00      1.07e-01    1.08e-01      9.66e-02    7.98e-02    7.5e-04
  10400      2.09e+00    2.21e+00      3.41e-02    3.29e-02      7.59e-02    8.05e-02    7.5e-04
  10500      2.01e+00    2.08e+00      1.79e-02    1.83e-02      7.34e-02    7.58e-02    7.5e-04
  10600      2.12e+00    1.93e+00      1.34e-02    1.45e-02      7.73e-02    7.04e-02    7.5e-04
  10700      1.97e+00    1.68e+00      4.35e-03    3.13e-03      7.21e-02    6.14e-02    7.5e-04
  10800      2.03e+00    1.67e+00      1.74e-03    1.37e-03      7.43e-02    6.09e-02    7.5e-04
  10900      2.05e+00    1.72e+00      3.15e-02    3.19e-02      7.47e-02    6.25e-02    7.5e-04
  11000      2.06e+00    1.80e+00      6.93e-03    7.62e-03      7.51e-02    6.59e-02    7.5e-04
  11100      2.22e+00    1.96e+00      9.62e-03    8.93e-03      8.10e-02    7.17e-02    7.5e-04
  11200      2.40e+00    2.54e+00      5.38e-03    3.89e-03      8.76e-02    9.26e-02    7.5e-04
  11300      1.86e+00    1.85e+00      3.67e-02    3.63e-02      6.77e-02    6.71e-02    7.5e-04
  11400      1.95e+00    2.18e+00      1.97e-02    1.96e-02      7.12e-02    7.96e-02    7.5e-04
  11500      1.95e+00    1.93e+00      6.01e-03    3.79e-03      7.13e-02    7.05e-02    7.5e-04
  11600      2.20e+00    2.02e+00      1.54e-02    1.59e-02      8.04e-02    7.38e-02    7.5e-04
  11700      2.12e+00    1.96e+00      1.81e-02    1.84e-02      7.75e-02    7.13e-02    7.5e-04
  11800      1.87e+00    1.57e+00      4.81e-04    2.46e-03      6.83e-02    5.73e-02    7.5e-04
  11900      2.28e+00    2.06e+00      1.29e-02    1.26e-02      8.33e-02    7.52e-02    7.5e-04
  12000      2.50e+00    1.80e+00      2.59e-02    2.64e-02      9.11e-02    6.55e-02    7.5e-04
  12100      2.23e+00    2.01e+00      4.09e-02    4.10e-02      8.11e-02    7.31e-02    7.5e-04
  12200      1.95e+00    1.58e+00      2.90e-02    2.93e-02      7.11e-02    5.73e-02    7.5e-04
  12300      2.56e+00    2.38e+00      1.39e-02    1.47e-02      9.35e-02    8.70e-02    7.5e-04
  12400      2.22e+00    2.02e+00      3.47e-02    3.33e-02      8.08e-02    7.33e-02    7.5e-04
  12500      2.17e+00    1.59e+00      3.78e-02    3.84e-02      7.89e-02    5.77e-02    7.5e-04
  12600      2.00e+00    1.58e+00      1.03e-02    1.14e-02      7.29e-02    5.78e-02    7.5e-04
  12700      1.87e+00    1.77e+00      7.98e-03    7.70e-03      6.84e-02    6.46e-02    7.5e-04
  12800      2.53e+00    2.20e+00      1.31e-02    1.53e-02      9.24e-02    8.02e-02    7.5e-04
  12900      2.28e+00    1.77e+00      3.69e-02    3.53e-02      8.29e-02    6.45e-02    7.5e-04
  13000      2.58e+00    2.32e+00      3.56e-02    3.54e-02      9.40e-02    8.44e-02    7.5e-04
  13100      2.06e+00    2.22e+00      7.12e-02    7.27e-02      7.40e-02    7.98e-02    7.5e-04
  13200      2.85e+00    2.49e+00      6.07e-02    5.91e-02      1.03e-01    9.01e-02    7.5e-04
  13300      1.92e+00    1.75e+00      2.24e-02    2.37e-02      7.00e-02    6.37e-02    7.5e-04
  13400      1.99e+00    1.98e+00      1.43e-03    3.73e-05      7.28e-02    7.24e-02    7.5e-04
  13500      2.11e+00    1.61e+00      2.31e-02    2.38e-02      7.71e-02    5.87e-02    7.5e-04
  13600      1.83e+00    1.43e+00      4.84e-03    4.46e-03      6.68e-02    5.22e-02    7.5e-04
  13700      2.01e+00    1.77e+00      4.71e-03    2.47e-03      7.32e-02    6.47e-02    7.5e-04
  13800      1.95e+00    1.79e+00      1.73e-02    1.74e-02      7.11e-02    6.53e-02    7.5e-04
  13900      2.10e+00    1.66e+00      6.42e-02    6.52e-02      7.57e-02    5.93e-02    7.5e-04
  14000      2.22e+00    2.48e+00      1.55e-02    1.45e-02      8.11e-02    9.04e-02    7.5e-04
  14100      2.07e+00    2.05e+00      2.24e-02    2.29e-02      7.55e-02    7.47e-02    7.5e-04
  14200      1.77e+00    1.70e+00      3.08e-02    2.98e-02      6.43e-02    6.17e-02    7.5e-04
  14300      2.09e+00    2.05e+00      3.24e-03    4.28e-03      7.65e-02    7.47e-02    7.5e-04
  14400      1.90e+00    1.73e+00      2.51e-03    3.27e-03      6.95e-02    6.31e-02    7.5e-04
  14500      2.03e+00    1.78e+00      3.52e-02    3.59e-02      7.39e-02    6.45e-02    7.5e-04
  14600      1.99e+00    1.94e+00      1.33e-02    1.33e-02      7.26e-02    7.09e-02    7.5e-04
  14700      2.17e+00    1.82e+00      6.96e-03    5.47e-03      7.91e-02    6.66e-02    7.5e-04
  14800      1.88e+00    1.74e+00      7.34e-03    4.70e-03      6.86e-02    6.36e-02    7.5e-04
  14900      2.03e+00    1.92e+00      1.06e-02    1.16e-02      7.40e-02    7.01e-02    7.5e-04
  15000      2.23e+00    1.80e+00      3.08e-02    3.24e-02      8.70e-02    7.01e-02    6.5e-04
  15100      1.62e+00    1.61e+00      1.46e-02    1.22e-02      6.36e-02    6.32e-02    6.5e-04
  15200      1.80e+00    1.68e+00      2.39e-03    3.27e-03      7.06e-02    6.59e-02    6.5e-04
  15300      1.69e+00    1.39e+00      3.51e-02    3.57e-02      6.59e-02    5.39e-02    6.5e-04
  15400      1.66e+00    1.49e+00      9.24e-04    1.07e-03      6.52e-02    5.84e-02    6.5e-04
  15500      1.74e+00    1.88e+00      1.66e-02    1.36e-02      6.82e-02    7.37e-02    6.5e-04
  15600      1.85e+00    1.53e+00      1.11e-02    1.08e-02      7.26e-02    6.00e-02    6.5e-04
  15700      1.66e+00    1.44e+00      8.53e-03    8.78e-03      6.52e-02    5.64e-02    6.5e-04
  15800      2.10e+00    1.63e+00      4.59e-02    4.45e-02      8.16e-02    6.31e-02    6.5e-04
  15900      1.73e+00    1.47e+00      8.49e-03    9.43e-03      6.78e-02    5.77e-02    6.5e-04
  16000      1.60e+00    1.54e+00      1.31e-02    1.31e-02      6.27e-02    6.03e-02    6.5e-04
  16100      1.72e+00    1.62e+00      2.04e-02    1.93e-02      6.74e-02    6.35e-02    6.5e-04
  16200      1.72e+00    1.35e+00      2.89e-02    2.89e-02      6.70e-02    5.26e-02    6.5e-04
  16300      1.74e+00    1.60e+00      1.31e-02    1.36e-02      6.80e-02    6.29e-02    6.5e-04
  16400      1.79e+00    1.47e+00      1.77e-02    1.81e-02      7.01e-02    5.75e-02    6.5e-04
  16500      1.66e+00    1.40e+00      1.66e-03    2.89e-03      6.50e-02    5.48e-02    6.5e-04
  16600      1.55e+00    1.65e+00      5.13e-03    3.84e-03      6.08e-02    6.48e-02    6.5e-04
  16700      1.84e+00    1.64e+00      9.82e-03    1.01e-02      7.22e-02    6.44e-02    6.5e-04
  16800      1.74e+00    1.58e+00      3.20e-02    3.19e-02      6.79e-02    6.16e-02    6.5e-04
  16900      1.57e+00    1.45e+00      2.58e-02    2.57e-02      6.11e-02    5.67e-02    6.5e-04
  17000      1.45e+00    1.48e+00      8.46e-03    7.99e-03      5.70e-02    5.80e-02    6.5e-04
  17100      1.58e+00    1.52e+00      1.84e-02    1.71e-02      6.18e-02    5.94e-02    6.5e-04
  17200      1.56e+00    1.72e+00      1.10e-03    8.01e-04      6.12e-02    6.74e-02    6.5e-04
  17300      1.85e+00    1.51e+00      2.66e-02    2.61e-02      7.24e-02    5.88e-02    6.5e-04
  17400      1.75e+00    1.68e+00      1.07e-03    2.74e-03      6.87e-02    6.57e-02    6.5e-04
  17500      1.74e+00    1.68e+00      3.49e-03    3.05e-03      6.82e-02    6.60e-02    6.5e-04
  17600      2.06e+00    1.85e+00      7.95e-02    7.85e-02      7.87e-02    7.03e-02    6.5e-04
  17700      1.72e+00    1.57e+00      1.42e-02    1.44e-02      6.75e-02    6.15e-02    6.5e-04
  17800      1.76e+00    1.71e+00      3.82e-03    3.21e-03      6.92e-02    6.71e-02    6.5e-04
  17900      1.43e+00    1.64e+00      2.70e-02    2.83e-02      5.58e-02    6.41e-02    6.5e-04
  18000      1.57e+00    1.37e+00      1.43e-02    1.44e-02      6.15e-02    5.36e-02    6.5e-04
  18100      1.78e+00    1.43e+00      1.76e-02    1.68e-02      6.95e-02    5.58e-02    6.5e-04
  18200      1.72e+00    1.44e+00      2.04e-02    2.06e-02      6.75e-02    5.61e-02    6.5e-04
  18300      1.67e+00    1.51e+00      2.73e-02    2.82e-02      6.51e-02    5.90e-02    6.5e-04
  18400      1.75e+00    1.70e+00      1.34e-03    6.13e-04      6.87e-02    6.69e-02    6.5e-04
  18500      1.67e+00    1.47e+00      9.55e-03    9.48e-03      6.53e-02    5.76e-02    6.5e-04
  18600      1.83e+00    1.41e+00      1.46e-02    1.32e-02      7.15e-02    5.53e-02    6.5e-04
  18700      1.83e+00    1.28e+00      1.72e-02    1.82e-02      7.16e-02    4.99e-02    6.5e-04
  18800      1.52e+00    1.35e+00      1.12e-02    1.05e-02      5.95e-02    5.29e-02    6.5e-04
  18900      1.63e+00    1.33e+00      9.96e-03    8.19e-03      6.40e-02    5.22e-02    6.5e-04
  19000      1.53e+00    1.33e+00      6.96e-03    5.99e-03      5.99e-02    5.21e-02    6.5e-04
  19100      2.01e+00    1.68e+00      9.01e-04    2.21e-04      7.90e-02    6.60e-02    6.5e-04
  19200      1.88e+00    1.94e+00      1.95e-03    4.88e-03      7.37e-02    7.61e-02    6.5e-04
  19300      1.82e+00    1.64e+00      2.87e-02    2.72e-02      7.12e-02    6.39e-02    6.5e-04
  19400      1.87e+00    1.49e+00      1.45e-02    1.46e-02      7.33e-02    5.83e-02    6.5e-04
  19500      1.91e+00    1.86e+00      3.53e-02    3.58e-02      7.45e-02    7.25e-02    6.5e-04
  19600      1.65e+00    1.52e+00      2.84e-02    2.78e-02      6.44e-02    5.94e-02    6.5e-04
  19700      1.68e+00    1.63e+00      5.43e-03    4.66e-03      6.59e-02    6.38e-02    6.5e-04
  19800      1.50e+00    1.23e+00      4.35e-03    4.71e-03      5.89e-02    4.83e-02    6.5e-04
  19900      1.70e+00    1.47e+00      1.31e-02    1.32e-02      6.67e-02    5.77e-02    6.5e-04
  20000      1.36e+00    1.15e+00      2.66e-03    2.55e-03      5.72e-02    4.84e-02    5.6e-04
  20100      1.50e+00    1.35e+00      4.34e-02    4.37e-02      6.20e-02    5.57e-02    5.6e-04
  20200      1.29e+00    1.33e+00      2.31e-02    2.35e-02      5.42e-02    5.59e-02    5.6e-04
  20300      1.36e+00    1.14e+00      1.58e-02    1.52e-02      5.72e-02    4.77e-02    5.6e-04
  20400      1.47e+00    1.32e+00      7.59e-03    7.98e-03      6.19e-02    5.55e-02    5.6e-04
  20500      1.42e+00    1.32e+00      3.98e-02    3.94e-02      5.87e-02    5.47e-02    5.6e-04
  20600      1.46e+00    1.37e+00      1.10e-02    9.80e-03      6.16e-02    5.76e-02    5.6e-04
  20700      1.28e+00    1.39e+00      3.68e-03    4.20e-03      5.41e-02    5.87e-02    5.6e-04
  20800      1.22e+00    1.23e+00      2.59e-02    2.63e-02      5.09e-02    5.12e-02    5.6e-04
  20900      1.29e+00    1.32e+00      1.65e-02    1.57e-02      5.40e-02    5.55e-02    5.6e-04
  21000      1.51e+00    1.67e+00      1.63e-02    1.57e-02      6.35e-02    7.04e-02    5.6e-04
  21100      1.63e+00    1.42e+00      3.09e-02    3.21e-02      6.81e-02    5.91e-02    5.6e-04
  21200      1.48e+00    1.36e+00      1.05e-02    1.23e-02      6.24e-02    5.72e-02    5.6e-04
  21300      1.42e+00    1.18e+00      8.47e-03    8.18e-03      5.97e-02    4.98e-02    5.6e-04
  21400      1.42e+00    1.27e+00      7.32e-03    7.92e-03      5.97e-02    5.34e-02    5.6e-04
  21500      1.47e+00    1.23e+00      9.48e-03    1.03e-02      6.19e-02    5.18e-02    5.6e-04
  21600      1.54e+00    1.35e+00      1.89e-02    1.84e-02      6.49e-02    5.68e-02    5.6e-04
  21700      1.22e+00    1.13e+00      2.23e-02    2.21e-02      5.11e-02    4.72e-02    5.6e-04
  21800      1.20e+00    1.11e+00      3.12e-02    3.00e-02      4.98e-02    4.59e-02    5.6e-04
  21900      1.59e+00    1.48e+00      4.65e-02    4.35e-02      6.60e-02    6.12e-02    5.6e-04
  22000      1.50e+00    1.22e+00      2.50e-02    2.58e-02      6.30e-02    5.10e-02    5.6e-04
  22100      1.39e+00    1.51e+00      2.52e-02    2.28e-02      5.81e-02    6.32e-02    5.6e-04
  22200      1.39e+00    1.29e+00      1.23e-03    1.06e-03      5.87e-02    5.46e-02    5.6e-04
  22300      1.56e+00    1.26e+00      3.20e-02    3.20e-02      6.50e-02    5.25e-02    5.6e-04
  22400      1.62e+00    1.56e+00      1.55e-02    1.63e-02      6.82e-02    6.56e-02    5.6e-04
  22500      1.40e+00    1.20e+00      1.82e-02    1.91e-02      5.87e-02    5.03e-02    5.6e-04
  22600      1.13e+00    1.09e+00      3.86e-03    4.32e-03      4.77e-02    4.61e-02    5.6e-04
  22700      1.27e+00    1.21e+00      9.10e-03    8.60e-03      5.34e-02    5.08e-02    5.6e-04
  22800      1.52e+00    1.40e+00      5.28e-03    6.01e-03      6.42e-02    5.91e-02    5.6e-04
  22900      1.43e+00    1.24e+00      1.75e-02    1.84e-02      6.00e-02    5.19e-02    5.6e-04
  23000      1.46e+00    1.21e+00      1.34e-02    1.14e-02      6.14e-02    5.07e-02    5.6e-04
  23100      1.53e+00    1.37e+00      7.09e-03    5.75e-03      6.44e-02    5.76e-02    5.6e-04
  23200      1.57e+00    1.40e+00      2.03e-02    2.13e-02      6.61e-02    5.88e-02    5.6e-04
  23300      1.56e+00    1.42e+00      6.12e-03    5.37e-03      6.56e-02    5.99e-02    5.6e-04
  23400      1.28e+00    1.07e+00      6.02e-03    5.31e-03      5.39e-02    4.52e-02    5.6e-04
  23500      1.27e+00    1.34e+00      3.19e-02    3.11e-02      5.29e-02    5.60e-02    5.6e-04
  23600      1.32e+00    1.25e+00      1.20e-02    1.11e-02      5.58e-02    5.28e-02    5.6e-04
  23700      1.23e+00    1.15e+00      1.08e-02    1.13e-02      5.16e-02    4.84e-02    5.6e-04
  23800      1.49e+00    1.50e+00      1.92e-02    1.82e-02      6.26e-02    6.32e-02    5.6e-04
  23900      1.43e+00    1.33e+00      6.98e-04    8.39e-04      6.01e-02    5.60e-02    5.6e-04
  24000      1.29e+00    1.46e+00      4.95e-03    3.89e-03      5.45e-02    6.14e-02    5.6e-04
  24100      1.47e+00    1.30e+00      1.88e-02    2.08e-02      6.18e-02    5.45e-02    5.6e-04
  24200      1.26e+00    1.19e+00      2.07e-02    1.97e-02      5.28e-02    5.00e-02    5.6e-04
  24300      1.29e+00    1.32e+00      7.08e-03    6.03e-03      5.45e-02    5.56e-02    5.6e-04
  24400      1.40e+00    1.40e+00      8.93e-03    9.07e-03      5.90e-02    5.88e-02    5.6e-04
  24500      1.26e+00    1.14e+00      6.34e-03    6.23e-03      5.29e-02    4.82e-02    5.6e-04
  24600      1.46e+00    1.27e+00      1.45e-02    1.57e-02      6.13e-02    5.34e-02    5.6e-04
  24700      1.50e+00    1.40e+00      1.54e-02    1.51e-02      6.33e-02    5.90e-02    5.6e-04
  24800      1.47e+00    1.46e+00      9.16e-03    1.10e-02      6.21e-02    6.16e-02    5.6e-04
  24900      1.26e+00    1.35e+00      1.27e-02    1.28e-02      5.30e-02    5.68e-02    5.6e-04
  25000      1.25e+00    1.02e+00      1.21e-02    1.32e-02      5.63e-02    4.61e-02    4.9e-04
  25100      1.21e+00    1.07e+00      2.56e-03    3.03e-03      5.49e-02    4.85e-02    4.9e-04
  25200      1.23e+00    1.00e+00      1.54e-03    1.67e-03      5.55e-02    4.54e-02    4.9e-04
  25300      1.22e+00    1.07e+00      1.55e-03    1.56e-03      5.52e-02    4.87e-02    4.9e-04
  25400      1.25e+00    1.24e+00      9.03e-03    8.22e-03      5.67e-02    5.61e-02    4.9e-04
  25500      1.16e+00    9.95e-01      1.56e-02    1.59e-02      5.23e-02    4.48e-02    4.9e-04
  25600      1.38e+00    1.26e+00      2.14e-02    2.12e-02      6.21e-02    5.65e-02    4.9e-04
  25700      1.26e+00    9.40e-01      1.02e-02    1.00e-02      5.70e-02    4.24e-02    4.9e-04
  25800      1.24e+00    1.34e+00      1.35e-02    1.28e-02      5.58e-02    6.08e-02    4.9e-04
  25900      1.17e+00    1.05e+00      7.35e-04    2.55e-04      5.29e-02    4.74e-02    4.9e-04
  26000      1.37e+00    1.41e+00      1.57e-02    1.58e-02      6.18e-02    6.35e-02    4.9e-04
  26100      1.32e+00    1.14e+00      1.44e-03    2.24e-03      5.99e-02    5.15e-02    4.9e-04
